step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
230,0.75877,0.7027,,
231,0.69795,0.79167,,
232,0.91086,0.8,,
233,0.76128,0.73333,,
234,0.36921,0.87179,,
235,0.37791,0.88889,,
236,0.41982,0.8,,
237,0.85889,0.76,,
238,0.58406,0.85714,,
239,0.75575,0.84211,,
240,0.73439,0.87179,,
241,0.4191,0.81579,,
242,0.45573,0.89474,,
243,0.28175,0.89474,,
244,0.36756,0.84615,,
245,0.68524,0.7907,,
246,0.52416,0.86047,,
247,0.47171,0.82051,,
248,0.57859,0.82927,,
249,0.72676,0.76316,,
250,0.32757,0.88889,,
251,0.25712,0.89189,,
252,0.8722,0.66667,,
253,0.39716,0.87037,,
254,0.29607,0.94118,,
255,0.35701,0.925,,
256,0.69409,0.77778,,
257,0.76609,0.84211,,
258,0.56718,0.86486,,
259,0.53467,0.82857,,
260,0.43692,0.76923,,
261,0.72115,0.76744,,
262,0.81695,0.68182,,
263,1.00431,0.69565,,
264,0.78808,0.76271,,
265,0.61563,0.8,,
266,1.1298,0.70588,,
267,0.38042,0.92683,,
268,0.38957,0.85294,,
269,0.40087,0.91667,,
270,0.23226,0.92105,,
271,0.74259,0.73585,,
272,0.5546,0.87931,,
273,0.91546,0.625,,
274,0.80363,0.675,,
275,0.7323,0.81579,,
276,0.54981,0.84211,,
277,0.79363,0.725,,
278,0.95882,0.8,,
279,0.82138,0.77778,,
280,0.83305,0.725,,
281,0.64813,0.775,,
282,0.52861,0.77049,,
283,0.51561,0.75,,
284,0.90062,0.76316,,
285,0.4863,0.78,,
286,0.76895,0.80952,,
287,0.64837,0.78723,,
288,0.85709,0.70732,,
289,0.77279,0.80556,,
290,0.5812,0.76923,,
291,0.92559,0.78571,,
292,0.84141,0.775,,
293,0.78727,0.725,,
294,0.42826,0.85714,,
295,0.38251,0.925,,
296,0.30373,0.925,,
297,0.77354,0.80769,,
298,0.64351,0.71429,,
299,0.81899,0.825,,
300,0.85656,0.78378,,
301,0.39696,0.84615,,
302,0.70882,0.75,,
303,0.61732,0.71739,,
304,0.85611,0.7561,,
305,0.74578,0.7561,,
306,0.935,0.80851,,
307,0.50616,0.85965,,
308,0.52091,0.80556,,
309,0.66888,0.77551,,
310,0.43732,0.83784,,
311,0.49684,0.82353,,
312,0.34851,0.89474,,
313,0.4031,0.88889,,
314,0.62769,0.80488,,
315,0.66761,0.77273,,
316,0.76926,0.81081,,
317,0.71383,0.7381,,
318,0.48263,0.82051,,
319,0.76776,0.73684,,
320,0.57288,0.7931,,
321,0.25182,0.9697,,
322,0.62652,0.7561,,
323,0.68975,0.83784,,
324,0.75822,0.7381,,
325,0.88991,0.74468,,
326,0.31327,0.92105,,
327,0.50399,0.86885,,
328,0.38041,0.89474,,
329,0.4838,0.81818,,
330,0.49687,0.81081,,
331,0.86907,0.79487,,
332,0.71531,0.77143,,
333,0.97101,0.70455,,
334,0.61792,0.72727,,
335,0.50303,0.85965,,
336,0.65916,0.86111,,
337,1.00017,0.71053,,
338,0.82392,0.75472,,
339,0.8525,0.75,,
340,0.51577,0.79487,,
341,0.42932,0.91489,,
342,0.42461,0.86486,,
343,0.64346,0.8,,
344,0.52607,0.8,,
345,0.58833,0.81579,,
346,0.57512,0.77193,,
347,0.3414,0.875,,
348,0.34011,0.85714,,
349,0.50769,0.78947,,
350,0.90047,0.675,,
351,0.83095,0.70732,,
352,0.63975,0.82,,
353,0.38703,0.87179,,
354,0.77921,0.76744,,
355,0.46859,0.84211,,
356,0.90047,0.77419,,
357,0.43525,0.85417,,
358,0.47988,0.85,,
359,0.53668,0.83333,,
360,0.7323,0.82051,,
361,0.33571,0.91667,,
362,0.97334,0.67647,,
363,0.51032,0.86275,,
364,0.68242,0.75,,
365,0.55837,0.7027,,
366,0.44586,0.875,,
367,0.26832,0.88889,,
368,0.38438,0.89189,,
369,0.23964,0.94595,,
370,0.72419,0.85,,
371,0.88576,0.77193,,
372,0.67761,0.75676,,
373,0.55377,0.83333,,
374,0.5482,0.73913,,
375,0.40865,0.825,,
376,1.01665,0.73684,,
377,0.50337,0.7561,,
378,0.52653,0.825,,
379,0.56895,0.72222,,
380,0.65922,0.85106,,
381,0.34714,0.95,,
382,0.50406,0.92857,,
383,0.62211,0.93023,,
384,0.60474,0.79487,,
385,0.5212,0.84783,,
386,0.5745,0.80556,,
387,0.66157,0.77049,,
388,0.6942,0.76316,,
389,1.16179,0.70455,,
390,0.45165,0.85294,,
391,0.53523,0.80851,,
392,0.65613,0.83721,,
393,0.89497,0.80435,,
394,0.55798,0.88235,,
395,0.84252,0.71795,,
396,0.88641,0.75,,
397,0.50183,0.80435,,
398,0.44348,0.875,,
399,0.60257,0.8,,
400,0.40775,0.89474,,
401,0.8056,0.80556,,
402,0.37571,0.90323,,
403,0.6931,0.80556,,
404,0.56439,0.86486,,
405,0.50775,0.87179,,
406,0.48281,0.84211,,
407,0.78485,0.81395,,
408,0.60141,0.875,,
409,0.49928,0.78571,,
410,0.55313,0.78125,,
411,0.83457,0.73333,,
412,0.5055,0.83784,,
413,0.47556,0.81579,,
414,0.53787,0.79487,,
415,0.53279,0.81081,,
416,0.70554,0.7,,
417,0.54217,0.85714,,
418,0.55027,0.825,,
419,0.47172,0.75,,
420,0.77092,0.7381,,
421,0.49358,0.82927,,
422,0.85289,0.77778,,
423,0.54011,0.86842,,
424,0.85084,0.67568,,
425,0.66705,0.83333,,
426,0.62476,0.80702,,
427,0.73641,0.74419,,
428,0.56039,0.86957,,
429,0.90024,0.72549,,
430,0.57781,0.7381,,
431,0.76734,0.75556,,
432,0.39944,0.88235,,
433,0.63587,0.77273,,
434,0.20929,0.94444,,
435,0.52599,0.83784,,
436,0.45112,0.86111,,
437,0.81142,0.8,,
438,0.50949,0.82222,,
439,0.35523,0.87179,,
440,0.57548,0.77778,,
441,0.26607,0.92308,,
442,0.41435,0.89474,,
443,0.62905,0.83333,,
444,0.71717,0.7381,,
445,0.49647,0.86486,,
446,0.39943,0.86111,,
447,0.25644,0.89189,,
448,0.44625,0.84615,,
449,0.57872,0.83929,,
450,0.29702,0.92105,,
451,0.38786,0.89189,,
452,0.52271,0.75,,
453,0.45423,0.81579,,
454,0.4373,0.82051,,
455,0.23885,0.91176,,
456,0.38807,0.90196,,
457,0.6901,0.85,,
458,0.72585,0.725,,
459,0.92676,0.65909,,
460,0.56128,0.76316,,
